DemandLineId,DemandOrderId,SkuId,StockingPointId,CustomerId,Quantity,UnitOfMeasure,OrderDate,RequestedDeliveryDate,Priority,DemandCategory,IsFirm,IsFrozen
DEMAND-1,ORDER-1,SKU-BIKE,SP-WAREHOUSE,CUST-1,100,UOM-PCS,2026-06-01T00:00:00Z,2026-06-12T00:00:00Z,1,CustomerOrderDemand,true,false
DEMAND-2,ORDER-2,SKU-BIKE,SP-WAREHOUSE,CUST-2,50,UOM-PCS,2026-06-02T00:00:00Z,2026-06-15T00:00:00Z,2,CustomerOrderDemand,true,false
DEMAND-3,ORDER-3,SKU-FRAME,SP-FACTORY,CUST-3,200,UOM-PCS,2026-06-03T00:00:00Z,2026-06-18T00:00:00Z,1,CustomerOrderDemand,true,false
DEMAND-4,ORDER-4,SKU-WHEEL,SP-FACTORY,CUST-4,150,UOM-PCS,2026-06-04T00:00:00Z,2026-06-20T00:00:00Z,3,CustomerOrderDemand,true,false
DEMAND-5,ORDER-5,SKU-BIKE,SP-WAREHOUSE,CUST-1,80,UOM-PCS,2026-06-05T00:00:00Z,2026-06-22T00:00:00Z,1,CustomerOrderDemand,true,false
DEMAND-6,FCST-1,SKU-BIKE,SP-WAREHOUSE,CUST-SYSTEM,300,UOM-PCS,2026-06-06T00:00:00Z,2026-06-25T00:00:00Z,2,SalesOrderForecast,false,false
DEMAND-7,FCST-2,SKU-FRAME,SP-FACTORY,CUST-SYSTEM,500,UOM-PCS,2026-06-07T00:00:00Z,2026-06-28T00:00:00Z,3,SalesOrderForecast,false,false
DEMAND-8,FCST-3,SKU-WHEEL,SP-FACTORY,CUST-SYSTEM,600,UOM-PCS,2026-06-08T00:00:00Z,2026-06-30T00:00:00Z,3,SalesOrderForecast,false,false
DEMAND-9,ORDER-9,SKU-FRAME,SP-FACTORY,CUST-7,90,UOM-PCS,2026-06-09T00:00:00Z,2026-07-02T00:00:00Z,2,CustomerOrderDemand,true,false
DEMAND-10,FCST-4,SKU-BIKE,SP-WAREHOUSE,CUST-SYSTEM,400,UOM-PCS,2026-06-10T00:00:00Z,2026-07-05T00:00:00Z,2,SalesOrderForecast,false,false
